sid,proto,source,src_port,arrow,destination,dst_port,classtype,direction,TActic,Technique,Tname,TA_inb,T_inb,TA_lat,T_lat,TA_out,T_out,msg,reference
1681,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE all_views access""",
1682,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE all_source access""",
1683,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE all_tables access""",
1684,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE all_tab_columns access""",
1685,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE all_tab_privs access""",
1686,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE dba_tablespace access""",
1687,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE dba_tables access""",
1688,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE user_tablespace access""",
1689,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE sys.all_users access""",
1690,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE grant attempt""",
1691,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE ALTER USER attempt""",
1692,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE drop table attempt""",
1693,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE create table attempt""",
1694,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE alter table attempt""",
1695,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE truncate table attempt""",
1696,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE create database attempt""",
1697,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,$ORACLE_PORTS,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-ORACLE alter database attempt""",
1700,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP imagemap.exe access""","['bugtraq', '739']"
1701,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP calendar-admin.pl access""","['bugtraq', '1215']"
1702,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Amaya templates sendtemp.pl access""","['bugtraq', '2504']"
1703,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP auktion.cgi directory traversal attempt""","['bugtraq', '2367']"
1704,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP cal_make.pl directory traversal attempt""","['bugtraq', '2663']"
1705,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP echo.bat arbitrary command execution attempt""","['bugtraq', '1002']"
1706,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP echo.bat access""","['bugtraq', '1002']"
1707,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP hello.bat arbitrary command execution attempt""","['bugtraq', '1002']"
1708,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP hello.bat access""","['bugtraq', '1002']"
1709,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP ad.cgi access""","['bugtraq', '2103']"
1710,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP bbs_forum.cgi access""","['bugtraq', '2177']"
1711,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP bsguest.cgi access""","['bugtraq', '2159']"
1712,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP bslist.cgi access""","['bugtraq', '2160']"
1713,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP cgforum.cgi access""","['bugtraq', '1951']"
1714,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP newdesk access""",
1715,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP register.cgi access""","['bugtraq', '2157']"
1716,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP gbook.cgi access""","['bugtraq', '1940']"
1717,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP simplestguest.cgi access""","['bugtraq', '2106']"
1718,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP statsconfig.pl access""","['bugtraq', '2211']"
1719,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP talkback.cgi directory traversal attempt""","['bugtraq', '2547']"
1720,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP talkback.cgi access""","['bugtraq', '2547']"
1721,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP adcycle access""","['bugtraq', '3741']"
1722,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP MachineInfo access""","['cve', '1999-1067']"
1723,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP emumail.cgi NULL attempt""","['bugtraq', '5824']"
1724,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP emumail.cgi access""","['bugtraq', '5824']"
1725,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS +.htr code fragment attempt""","['bugtraq', '1488']"
1726,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS doctodep.btr access""",
1727,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP SGI InfoSearch fname access""","['bugtraq', '1031']"
1729,tcp,$HOME_NET,any,->,$EXTERNAL_NET,6666:7000,policy-violation,out,,,,,,,,,,"""POLICY-SOCIAL IRC channel join""",
1730,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP ustorekeeper.pl directory traversal attempt""","['bugtraq', '2536']"
1731,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP a1stats access""","['bugtraq', '2705']"
1732,udp,$EXTERNAL_NET,any,->,$HOME_NET,111,rpc-portmap-decode,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-RPC portmap rwalld request UDP""","['bugtraq', '205']"
1733,tcp,$EXTERNAL_NET,any,->,$HOME_NET,111,rpc-portmap-decode,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-RPC portmap rwalld request TCP""","['bugtraq', '205']"
1734,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-FTP USER overflow attempt""","['bugtraq', '10078']"
1735,tcp,$EXTERNAL_NET,$HTTP_PORTS,->,$HOME_NET,any,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""BROWSER-OTHER Mozilla Netscape XMLHttpRequest local file read attempt""","['bugtraq', '4628']"
1736,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP squirrel mail spell-check arbitrary command attempt""","['bugtraq', '3952']"
1737,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP squirrel mail theme arbitrary command attempt""","['bugtraq', '4385']"
1738,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP global.inc access""","['bugtraq', '4612']"
1739,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP DNSTools administrator authentication bypass attempt""","['bugtraq', '4617']"
1740,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP DNSTools authentication bypass attempt""","['bugtraq', '4617']"
1741,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP DNSTools access""","['bugtraq', '4617']"
1742,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Blahz-DNS dostuff.php modify user attempt""","['bugtraq', '4618']"
1743,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Blahz-DNS dostuff.php access""","['bugtraq', '4618']"
1744,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP SecureSite authentication bypass attempt""","['bugtraq', '4621']"
1745,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Messagerie supp_membre.php access""","['bugtraq', '4635']"
1746,udp,$EXTERNAL_NET,any,->,$HOME_NET,111,rpc-portmap-decode,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-RPC portmap cachefsd request UDP""","['bugtraq', '4674']"
1747,tcp,$EXTERNAL_NET,any,->,$HOME_NET,111,rpc-portmap-decode,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-RPC portmap cachefsd request TCP""","['bugtraq', '4674']"
1750,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS users.xml access""",
1751,tcp,$EXTERNAL_NET,any,->,$HOME_NET,32772:34000,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER cachefsd buffer overflow attempt""","['bugtraq', '4631']"
1753,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS as_web.exe access""","['bugtraq', '4670']"
1754,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS as_web4.exe access""","['bugtraq', '4670']"
1755,tcp,$EXTERNAL_NET,any,->,$HOME_NET,143,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-IMAP partial body buffer overflow attempt""","['bugtraq', '4713']"
1756,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS NewsPro administration authentication attempt""","['bugtraq', '4672']"
1757,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP b2 arbitrary command execution attempt""","['bugtraq', '4673']"
1759,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,445,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""SQL xp_cmdshell program execution 445""","['bugtraq', '5309']"
1762,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP phf arbitrary command execution attempt""","['bugtraq', '629']"
1763,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Nortel Contivity cgiproc DOS attempt""","['bugtraq', '938']"
1764,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Nortel Contivity cgiproc DOS attempt""","['bugtraq', '938']"
1765,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Nortel Contivity cgiproc access""","['bugtraq', '938']"
1766,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP search.dll directory listing attempt""","['bugtraq', '1684']"
1767,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP search.dll access""","['bugtraq', '1684']"
1769,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP .DS_Store access""","['url', 'www.macintouch.com/mosxreaderreports46.html']"
1770,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP .FBCIndex access""","['url', 'www.securiteam.com/securitynews/5LP0O005FS.html']"
1771,udp,$EXTERNAL_NET,any,->,$HOME_NET,500,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""POLICY-OTHER IPSec PGPNet connection attempt""",
1772,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS pbserver access""","['cve', '2000-1089']"
1773,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP php.exe access""","['url', 'www.securitytracker.com/alerts/2002/Jan/1003104.html']"
1774,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP bb_smilies.php access""","['url', 'www.securiteam.com/securitynews/Serious_security_hole_in_PHP-Nuke__bb_smilies_.html']"
1775,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,3306,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-MYSQL root login attempt""",
1776,tcp,$EXTERNAL_NET,any,->,$SQL_SERVERS,3306,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""SERVER-MYSQL show databases attempt""",
1777,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP EXPLOIT STAT asterisk dos attempt""","['bugtraq', '4482']"
1778,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP EXPLOIT STAT ? dos attempt""","['bugtraq', '4482']"
1787,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP csPassword.cgi access""","['bugtraq', '4885']"
1788,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP csPassword password.cgi.tmp access""","['bugtraq', '4889']"
1789,tcp,$HOME_NET,any,->,$EXTERNAL_NET,6666:7000,policy-violation,out,,,,,,,,,,"""POLICY-SOCIAL IRC dns request""",
1790,tcp,$EXTERNAL_NET,6666:7000,->,$HOME_NET,any,policy-violation,inb,,,,,,,,,,"""POLICY-SOCIAL IRC dns response""",
1792,tcp,$EXTERNAL_NET,119,->,$HOME_NET,any,protocol-command-decode,inb,Lateral Movement,,,Lateral Movement,,,,,,"""PROTOCOL-NNTP return code buffer overflow attempt""","['bugtraq', '4900']"
1802,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS .asa HTTP header buffer overflow attempt""","['bugtraq', '4476']"
1803,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS .cer HTTP header buffer overflow attempt""","['bugtraq', '4476']"
1804,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS .cdx HTTP header buffer overflow attempt""","['bugtraq', '4476']"
1805,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Oracle Reports CGI access""","['bugtraq', '4848']"
1806,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS .htr chunked Transfer-Encoding""","['bugtraq', '4855']"
1807,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,policy-violation,inb,,,,,,,,,,"""POLICY-OTHER Chunked-Encoding transfer with no data attempt""","['bugtraq', '4474']"
1808,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Apache chunked-encoding memory corruption exploit attempt""","['bugtraq', '5033']"
1809,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-APACHE Apache chunked-encoding worm attempt""","['bugtraq', '4474']"
1810,tcp,$HOME_NET,22,->,$EXTERNAL_NET,any,successful-admin,out,Privilege Escalation,,,,,,,Privilege Escalation,,"""SERVER-OTHER successful gobbles ssh exploit GOBBLE""","['bugtraq', '5093']"
1811,tcp,$HOME_NET,22,->,$EXTERNAL_NET,any,misc-attack,out,Command and Control,,,,,,,Command and Control,,"""SERVER-OTHER successful gobbles ssh exploit uname""","['bugtraq', '5093']"
1812,tcp,$EXTERNAL_NET,any,->,$HOME_NET,22,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER gobbles SSH exploit attempt""","['bugtraq', '5093']"
1813,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP digital island bandwidth query""",
1814,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP CISCO VoIP DOS ATTEMPT""","['bugtraq', '4794']"
1815,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP directory.php arbitrary command attempt""","['bugtraq', '4278']"
1816,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,misc-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP directory.php access""","['bugtraq', '4278']"
1817,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS MS Site Server default login attempt""","['nessus', '11018']"
1818,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-IIS MS Site Server admin attempt""","['nessus', '11018']"
1819,tcp,$EXTERNAL_NET,any,->,$HOME_NET,2533,misc-activity,inb,,,,,,,,,,"""SERVER-OTHER Alcatel PABX 4400 connection attempt""","['nessus', '11019']"
1820,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP IBM Net.Commerce orderdspc.d2w access""","['bugtraq', '2350']"
1821,tcp,$EXTERNAL_NET,any,->,$HOME_NET,515,system-call-detect,inb,,,,,,,,,,"""SERVER-OTHER LPD dvips remote command execution attempt""","['bugtraq', '3241']"
1822,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP AlienForm alienform.cgi directory traversal attempt""","['bugtraq', '4983']"
1823,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP AlienForm af.cgi directory traversal attempt""","['bugtraq', '4983']"
1824,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP AlienForm alienform.cgi access""","['bugtraq', '4983']"
1825,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP AlienForm af.cgi access""","['bugtraq', '4983']"
1826,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP WEB-INF access""","['bugtraq', '1830']"
1827,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-APACHE Apache Tomcat servlet mapping cross site scripting attempt""","['bugtraq', '5193']"
1828,tcp,$EXTERNAL_NET,any,->,$HOME_NET,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP iPlanet Search directory traversal attempt""","['bugtraq', '5191']"
1829,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-APACHE Apache Tomcat TroubleShooter servlet access""","['bugtraq', '4575']"
1830,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-activity,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-APACHE Apache Tomcat SnoopServlet servlet access""","['bugtraq', '4575']"
1831,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP jigsaw dos attempt""","['bugtraq', '5258']"
1832,tcp,$EXTERNAL_NET,80,->,$HOME_NET,any,policy-violation,inb,,,,,,,,,,"""POLICY-SOCIAL ICQ forced user addition""","['bugtraq', '3226']"
1834,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP PHP-Wiki cross site scripting attempt""","['bugtraq', '5254']"
1835,tcp,$EXTERNAL_NET,any,->,$HTTP_SERVERS,$HTTP_PORTS,web-application-attack,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-WEBAPP Macromedia SiteSpring cross site scripting attempt""","['bugtraq', '5249']"
